 initial abundance for selected isotopes
  447   0.00000E+00  CA 69
  448   0.00000E+00  CA 70
  449   0.00000E+00  CA 71
  450   0.00000E+00  CA 72
  451   0.00000E+00  CA 73
  452   0.00000E+00  SC 32
  453   0.00000E+00  SC 33
  454   0.00000E+00  SC 34
  455   0.00000E+00  SC 35
  456   0.00000E+00  SC 36
  457   0.00000E+00  SC 37
  458   0.00000E+00  SC 38
  459   0.00000E+00  SC 39
  460   0.00000E+00  SC 40
  461   0.00000E+00  SC 41
  462   0.00000E+00  SC 42
  463   0.00000E+00  SC 43
  464   0.00000E+00  SC 44
  465   0.00000E+00  SC 45
  466   0.00000E+00  SC 46
  467   0.00000E+00  SC 47
  468   0.00000E+00  SC 48
  469   0.00000E+00  SC 49
  470   0.00000E+00  SC 50
  471   0.00000E+00  SC 51
  472   0.00000E+00  SC 52
  473   0.00000E+00  SC 53
  474   0.00000E+00  SC 54
  475   0.00000E+00  SC 55
  476   0.00000E+00  SC 56
  477   0.00000E+00  SC 57
  478   0.00000E+00  SC 58
  479   0.00000E+00  SC 59
  480   0.00000E+00  SC 60
  481   0.00000E+00  SC 61
  482   0.00000E+00  SC 62
  483   0.00000E+00  SC 63
  484   0.00000E+00  SC 64
  485   0.00000E+00  SC 65
  486   0.00000E+00  SC 66
  487   0.00000E+00  SC 67
  488   0.00000E+00  SC 68
  489   0.00000E+00  SC 69
  490   0.00000E+00  SC 70
  491   0.00000E+00  SC 71
  492   0.00000E+00  SC 72
  493   0.00000E+00  SC 73
  494   0.00000E+00  SC 74
  495   0.00000E+00  SC 75
  496   0.00000E+00  SC 76
  497   0.00000E+00  TI 34
  498   0.00000E+00  TI 35
  499   0.00000E+00  TI 36
  500   0.00000E+00  TI 37
  501   0.00000E+00  TI 38
  502   0.00000E+00  TI 39
  503   0.00000E+00  TI 40
  504   0.00000E+00  TI 41
  505   0.00000E+00  TI 42
  506   0.00000E+00  TI 43
  507   0.00000E+00  TI 44
  508   0.00000E+00  TI 45
  509   0.00000E+00  TI 46
  510   0.00000E+00  TI 47
  511   0.00000E+00  TI 48
  512   0.00000E+00  TI 49
  513   0.00000E+00  TI 50
  514   0.00000E+00  TI 51
